,0
1695,1431
1696,951
1697,1006
1698,848
1699,881
1700,1523
1701,1835
1702,1494
1703,2550
1704,2551
1705,2492
1706,2436
1707,1127
1708,1160
1709,1042
1710,815
1711,1529
1712,1632
1713,2528
1714,1898
1715,1156
1716,1029
1717,1552
1718,721
1719,1803
1720,1246
1721,2653
1722,1158
1723,1592
1724,2501
1725,2946
1726,2970
1727,3874
1728,4517
1729,3515
1730,4499
1731,3139
1732,2482
1733,3345
1734,1730
1735,1398
1736,3087
1737,4943
1738,3210
1739,3368
1740,2628
1741,4476
1742,2981
1743,2449
1744,1670
1745,3004
1746,2867
1747,2277
1748,1803
1749,2196
1750,1742
1751,2178
1752,3383
1753,4207
1754,3453
1755,2795
1756,4075
1757,3741
1758,3635
1759,3248
1760,2332
1761,2031
1762,2272
1763,1745
1764,2965
1765,2205
1766,3445
1767,2494
1768,1498
1769,3046
1770,3003
1771,3827
1772,4360
1773,2666
1774,2190
1775,2986
1776,2607
1777,3312
1778,2789
1779,3414
1780,3012
1781,2402
1782,3783
1783,2700
1784,2883
1785,2394
1786,2764
1787,3950
1788,3169
1789,3272
1790,2707
1791,2443
1792,2936
1793,2770
1794,2509
1795,2070
1796,1938
1797,3467
1798,2452
1799,2843
1800,3296
1801,1642
1802,1585
1803,3487
1804,2308
1805,3077
1806,3457
1807,2275
1808,2593
1809,3350
1810,2445
1811,2781
1812,2612
1813,1929
1814,2486
1815,2287
1816,1825
1817,2247
1818,2238
1819,1318
1820,1296
1821,2620
1822,1469
1823,1869
1824,1589
1825,2256
1826,1296
1827,1876
1828,1454
1829,4028
1830,1813
1831,2866
1832,2081
1833,2823
1834,2328
1835,3715
1836,3104
1837,2786
1838,2766
1839,2457
1840,2634
1841,2673
1842,3669
1843,4145
1844,3556
1845,2054
1846,3861
1847,2068
1848,2970
1849,3861
1850,3272
1851,2463
1852,3149
1853,2834
1854,1910
1855,2657
1856,2610
1857,3287
1858,3020
1859,3661
1860,3162
1861,3933
1862,3911
1863,4548
1864,4006
1865,4485
1866,5720
1867,2783
1868,2997
1869,3231
1870,2074
1871,3230
1872,2950
1873,3724
1874,3038
1875,4683
1876,4874
1877,4552
1878,4281
1879,4765
1880,5096
1881,2415
1882,3595
1883,3586
1884,4276
1885,3255
1886,1194
1887,2852
1888,1788
1889,4963
1890,3861
1891,4058
1892,4530
1893,4231
1894,4240
1895,3996
1896,3030
1897,2362
1898,2642
1899,3926
1900,3951
1901,3481
1902,3920
1903,2054
1904,3218
1905,4369
1906,3857
1907,3466
1908,3668
1909,3782
1910,4301
1911,4984
1912,5338
1913,4244
1914,4275
1915,4139
1916,4720
1917,4415
1918,4033
1919,2777
1920,2509
1921,2789
1922,3745
1923,5071
1924,3917
1925,2787
1926,2888
1927,2294
1928,1709
1929,3704
1930,4202
1931,3640
1932,5242
1933,3550
1934,5094
1935,3644
1936,4167
1937,3703
1938,4730
1939,4090
1940,4276
1941,3173
1942,3148
1943,3116
1944,2930
1945,4389
1946,3632
1947,2182
1948,1994
1949,2952
1950,2530
1951,2243
1952,2868
1953,2153
1954,2675
1955,2325
1956,2132
1957,1974
1958,2711
1959,1518
1960,1153
1961,1857
1962,2525
1963,3910
1964,2983
1965,3495
1966,3497
1967,4171
1968,3611
1969,3230
1970,3984
1971,4656
1972,3479
1973,3111
1974,3456
1975,2697
1976,4115
1977,1897
1978,2905
1979,1542
1980,3818
1981,2056
1982,2435
1983,2668
1984,2644
1985,2466
1986,3458
1987,2193
1988,3585
1989,2574
1990,3994
1991,2726
1992,2792
1993,3212
1994,3668
1995,2625
1996,4762
1997,4116
1998,1942
1999,2823
2000,3724
2001,4432
2002,3609
2003,2317
2004,2794
2005,3186
2006,2011
2007,3277
2008,3414
2009,3765
2010,3160
2011,5021
2012,3751
2013,3801
2014,3549
2015,3440
2016,2921
2017,1938
2018,3014
2019,3496
2020,4094
2021,3598
2022,3102
2023,2529
2024,3903
2025,4209
2026,4418
2027,5355
2028,4687
2029,3954
2030,2621
2031,3118
2032,3043
2033,2514
2034,2947
2035,3799
2036,3214
2037,2647
2038,4290
2039,2631
2040,2257
2041,3060
2042,3012
2043,2928
2044,3008
2045,2056
2046,3130
2047,2303
2048,2556
2049,2392
2050,1930
2051,1998
2052,1577
2053,3835
2054,3119
2055,2345
2056,3944
2057,3231
2058,3637
2059,3406
2060,2547
2061,2199
2062,2232
2063,3489
2064,2532
2065,2253
2066,4981
2067,4602
2068,2733
2069,4380
2070,3290
2071,3424
2072,3628
2073,2901
2074,3117
2075,4303
2076,3425
2077,2697
2078,1473
2079,3868
2080,2954
2081,2941
2082,3166
2083,3453
2084,3280
2085,4524
2086,4860
2087,4099
2088,3678
2089,3005
2090,2539
2091,2853
2092,2310
2093,2795
2094,2553
2095,1694
2096,1645
2097,3287
2098,2968
2099,1605
2100,1945
2101,1135
2102,3355
2103,4282
2104,3202
2105,4710
2106,2137
2107,3959
2108,4448
2109,2999
2110,2433
2111,3545
2112,4478
2113,5257
2114,4799
2115,4822
2116,4023
2117,4814
2118,4898
2119,3467
2120,3438
2121,4179
2122,3585
2123,4572
2124,3870
2125,2431
2126,3394
2127,1230
2128,2766
2129,2922
2130,3916
2131,1826
2132,1267
2133,1484
2134,2784
2135,1811
2136,3214
2137,4655
2138,4720
2139,2335
2140,2319
2141,3845
2142,3749
2143,3365
2144,3824
2145,3677
2146,2242
2147,4026
2148,4745
2149,3082
2150,4674
2151,2033
2152,3892
2153,3125
2154,2576
2155,2694
2156,1353
2157,2967
2158,2957
2159,4126
2160,5202
2161,3577
2162,3179
2163,2203
2164,2281
2165,3956
2166,3665
2167,2967
2168,2794
2169,4608
2170,5281
2171,3659
2172,3145
2173,4792
2174,3542
2175,3030
2176,2156
2177,3274
2178,3296
2179,2294
2180,1289
2181,3837
2182,2283
2183,4595
2184,3977
2185,3695
2186,2377
2187,4208
2188,1578
2189,3728
2190,1644
2191,1717
2192,1868
2193,2398
2194,2102
2195,3521
2196,3506
2197,2735
2198,1917
2199,2171
2200,2244
2201,4088
2202,3596
2203,3865
2204,2974
2205,2953
2206,3628
2207,1494
2208,2975
2209,1672
2210,1839
2211,2883
2212,3314
2213,1429
2214,1958
2215,2772
2216,1362
2217,1614
2218,2739
2219,2493
2220,2580
2221,2418
2222,1870
2223,1555
2224,1950
2225,2099
2226,1830
2227,3238
2228,2231
2229,2709
2230,3140
2231,2093
2232,2826
2233,1974
2234,3077
2235,1883
2236,2129
2237,1916
2238,1915
2239,2067
2240,2576
2241,2591
2242,2072
2243,2521
2244,2637
2245,1994
2246,2000
2247,2286
2248,2053
2249,2265
2250,1702
2251,2582
2252,2318
2253,1964
2254,2982
2255,1751
2256,2190
2257,3075
2258,2933
2259,1812
2260,2971
2261,2199
2262,3362
2263,2865
2264,3158
2265,2062
2266,1984
2267,2094
2268,2032
2269,2203
2270,3283
2271,2689
2272,2004
2273,2741
2274,2417
2275,2468
2276,1407
2277,2799
2278,2406
2279,2866
2280,2520
2281,2157
2282,2540
2283,2355
2284,853
2285,3407
2286,2418
2287,2259
2288,1848
2289,2949
2290,2065
2291,3054
2292,3150
2293,3005
2294,1867
2295,2226
2296,2982
2297,2480
2298,3014
2299,2714
2300,1886
2301,3291
2302,2383
2303,3173
2304,2802
2305,2454
2306,3267
2307,1937
2308,3310
2309,2007
2310,1149
2311,1363
2312,1284
2313,2096
2314,2226
2315,2034
2316,2182
2317,2270
2318,3186
2319,1810
2320,3035
2321,3132
2322,2058
2323,1679
2324,688
2325,1179
2326,731
2327,919
2328,2320
2329,2421
2330,2164
2331,1636
2332,1542
2333,1934
2334,1950
2335,2078
2336,2066
2337,2781
2338,2637
2339,1929
2340,2981
2341,2907
2342,2334
2343,2186
2344,2790
2345,2706
2346,2089
2347,1252
2348,1058
2349,1434
2350,1302
2351,1794
2352,2559
2353,1326
2354,975
2355,2391
2356,2239
2357,2068
2358,2522
2359,2144
2360,2340
2361,2287
2362,1477
2363,1617
2364,1912
2365,2720
2366,2554
2367,1599
2368,2904
2369,2184
2370,2598
2371,1988
2372,2285
2373,2461
2374,1194
2375,3456
2376,2484
2377,4045
2378,1650
2379,882
2380,706
2381,2652
2382,1032
2383,2867
2384,929
2385,582
2386,1124
2387,1314
2388,2479
2389,2232
2390,2230
2391,2321
2392,1478
2393,1364
2394,1878
2395,1875
2396,2552
2397,1851
2398,1809
2399,1889
2400,2268
2401,3011
2402,2709
2403,1570
2404,2497
2405,2022
2406,2918
2407,1724
2408,1715
2409,1827
2410,2878
2411,2492
2412,1740
2413,1946
2414,1399
2415,854
2416,1162
2417,1773
2418,2602
2419,2310
2420,2683
2421,3031
2422,2588
2423,2029
2424,2363
2425,2366
2426,2733
2427,1725
2428,1000
2429,998
2430,958
2431,2224
2432,2009
2433,1642
2434,1964
2435,2590
2436,2483
2437,1965
2438,2008
2439,2303
2440,2141
2441,1606
2442,2588
2443,2834
2444,1820
2445,1217
2446,1684
2447,2181
2448,2448
2449,3026
2450,2632
2451,3334
2452,2662
2453,3194
2454,1864
2455,2725
2456,2356
2457,2364
2458,2571
2459,743
2460,2967
2461,2750
2462,4047
2463,2988
2464,3117
2465,2477
2466,2272
2467,1726
2468,3195
2469,2538
2470,4235
2471,1987
2472,1305
2473,2160
2474,1922
2475,2355
2476,3612
2477,2950
2478,2871
2479,2249
2480,2539
2481,952
2482,1888
2483,2435
2484,1612
2485,2494
2486,2804
2487,2310
2488,2300
2489,2037
2490,2240
2491,2642
2492,3583
2493,2356
2494,2581
2495,1572
2496,1892
2497,390
2498,3023
2499,2720
2500,2853
2501,3394
2502,1549
2503,2066
2504,1672
2505,3298
2506,2449
2507,1517
2508,1655
2509,1912
2510,1826
2511,1312
2512,1577
